Time, Sample
2022-09-17T13:49:58.869542Z, 4951
2022-09-17T13:49:58.894542Z, 3240
2022-09-17T13:49:58.919542Z, 3972
2022-09-17T13:49:58.944542Z, 4389
2022-09-17T13:49:58.969542Z, 4476
2022-09-17T13:49:58.994542Z, 5422
2022-09-17T13:49:59.019542Z, 3273
2022-09-17T13:49:59.044542Z, 4378
2022-09-17T13:49:59.069542Z, 6072
2022-09-17T13:49:59.094542Z, 4615
2022-09-17T13:49:59.119542Z, 6115
2022-09-17T13:49:59.144542Z, 4951
2022-09-17T13:49:59.169542Z, 4770
2022-09-17T13:49:59.194542Z, 7130
2022-09-17T13:49:59.219542Z, 4969
2022-09-17T13:49:59.244542Z, 5881
2022-09-17T13:49:59.269542Z, 7036
2022-09-17T13:49:59.294542Z, 4764
2022-09-17T13:49:59.319542Z, 6223
2022-09-17T13:49:59.344542Z, 6541
2022-09-17T13:49:59.369542Z, 5898
2022-09-17T13:49:59.394542Z, 7788
2022-09-17T13:49:59.419542Z, 7228
2022-09-17T13:49:59.444542Z, 5874
2022-09-17T13:49:59.469542Z, 6433
2022-09-17T13:49:59.494542Z, 8534
2022-09-17T13:49:59.519542Z, 8493
2022-09-17T13:49:59.544542Z, 5832
2022-09-17T13:49:59.569542Z, 7341
2022-09-17T13:49:59.594542Z, 8342
2022-09-17T13:49:59.619542Z, 7033
2022-09-17T13:49:59.644542Z, 7876
2022-09-17T13:49:59.669542Z, 6617
2022-09-17T13:49:59.694542Z, 6069
2022-09-17T13:49:59.719542Z, 7146
2022-09-17T13:49:59.744542Z, 7042
2022-09-17T13:49:59.769542Z, 7803
2022-09-17T13:49:59.794542Z, 6462
2022-09-17T13:49:59.819542Z, 5679
2022-09-17T13:49:59.844542Z, 7134
2022-09-17T13:49:59.869542Z, 7344
2022-09-17T13:49:59.894542Z, 7958
2022-09-17T13:49:59.919542Z, 6426
2022-09-17T13:49:59.944542Z, 5280
2022-09-17T13:49:59.969542Z, 7229
2022-09-17T13:49:59.994542Z, 7210
2022-09-17T13:50:00.019542Z, 7542
2022-09-17T13:50:00.044542Z, 7808
2022-09-17T13:50:00.069542Z, 6860
2022-09-17T13:50:00.094542Z, 7168
2022-09-17T13:50:00.119542Z, 7044
2022-09-17T13:50:00.144542Z, 8014
2022-09-17T13:50:00.169542Z, 7436
2022-09-17T13:50:00.194542Z, 6102
2022-09-17T13:50:00.219542Z, 7639
2022-09-17T13:50:00.244542Z, 5557
2022-09-17T13:50:00.269542Z, 5895
2022-09-17T13:50:00.294542Z, 9058
2022-09-17T13:50:00.319542Z, 6571
2022-09-17T13:50:00.344542Z, 6642
2022-09-17T13:50:00.369542Z, 7274
2022-09-17T13:50:00.394542Z, 7095
2022-09-17T13:50:00.419542Z, 9661
2022-09-17T13:50:00.444542Z, 7316
2022-09-17T13:50:00.469542Z, 6933
2022-09-17T13:50:00.494542Z, 9692
2022-09-17T13:50:00.519542Z, 7584
2022-09-17T13:50:00.544542Z, 7885
2022-09-17T13:50:00.569542Z, 8634
2022-09-17T13:50:00.594542Z, 7250
2022-09-17T13:50:00.619542Z, 8140
2022-09-17T13:50:00.644542Z, 7787
2022-09-17T13:50:00.669542Z, 7644
2022-09-17T13:50:00.694542Z, 7857
2022-09-17T13:50:00.719542Z, 7304
2022-09-17T13:50:00.744542Z, 8262
2022-09-17T13:50:00.769542Z, 7891
2022-09-17T13:50:00.794542Z, 7943
2022-09-17T13:50:00.819542Z, 8616
2022-09-17T13:50:00.844542Z, 8415
2022-09-17T13:50:00.869542Z, 9128
2022-09-17T13:50:00.894542Z, 7484
2022-09-17T13:50:00.919542Z, 6907
2022-09-17T13:50:00.944542Z, 8800
2022-09-17T13:50:00.969542Z, 7816
2022-09-17T13:50:00.994542Z, 6994
2022-09-17T13:50:01.019542Z, 6441
2022-09-17T13:50:01.044542Z, 6741
2022-09-17T13:50:01.069542Z, 8833
2022-09-17T13:50:01.094542Z, 6655
2022-09-17T13:50:01.119542Z, 6174
2022-09-17T13:50:01.144542Z, 8644
2022-09-17T13:50:01.169542Z, 7046
2022-09-17T13:50:01.194542Z, 7759
2022-09-17T13:50:01.219542Z, 8799
2022-09-17T13:50:01.244542Z, 7827
2022-09-17T13:50:01.269542Z, 9166
2022-09-17T13:50:01.294542Z, 7939
2022-09-17T13:50:01.319542Z, 8209
2022-09-17T13:50:01.344542Z, 10144
2022-09-17T13:50:01.369542Z, 7968
2022-09-17T13:50:01.394542Z, 9410
2022-09-17T13:50:01.419542Z, 10175
2022-09-17T13:50:01.444542Z, 7819
2022-09-17T13:50:01.469542Z, 9155
2022-09-17T13:50:01.494542Z, 9157
2022-09-17T13:50:01.519542Z, 9272
2022-09-17T13:50:01.544542Z, 8767
2022-09-17T13:50:01.569542Z, 7235
2022-09-17T13:50:01.594542Z, 9278
2022-09-17T13:50:01.619542Z, 8432
2022-09-17T13:50:01.644542Z, 7502
2022-09-17T13:50:01.669542Z, 8476
2022-09-17T13:50:01.694542Z, 7438
2022-09-17T13:50:01.719542Z, 8068
2022-09-17T13:50:01.744542Z, 6743
2022-09-17T13:50:01.769542Z, 6099
2022-09-17T13:50:01.794542Z, 8391
2022-09-17T13:50:01.819542Z, 7037
2022-09-17T13:50:01.844542Z, 6110
2022-09-17T13:50:01.869542Z, 6148
2022-09-17T13:50:01.894542Z, 5748
2022-09-17T13:50:01.919542Z, 6487
2022-09-17T13:50:01.944542Z, 5781
2022-09-17T13:50:01.969542Z, 6058
2022-09-17T13:50:01.994542Z, 5791
2022-09-17T13:50:02.019542Z, 4434
2022-09-17T13:50:02.044542Z, 6381
2022-09-17T13:50:02.069542Z, 6625
2022-09-17T13:50:02.094542Z, 5981
2022-09-17T13:50:02.119542Z, 6173
2022-09-17T13:50:02.144542Z, 5038
2022-09-17T13:50:02.169542Z, 6561
2022-09-17T13:50:02.194542Z, 6352
2022-09-17T13:50:02.219542Z, 5311
2022-09-17T13:50:02.244542Z, 7044
2022-09-17T13:50:02.269542Z, 5557
2022-09-17T13:50:02.294542Z, 5383
2022-09-17T13:50:02.319542Z, 6058
2022-09-17T13:50:02.344542Z, 5253
2022-09-17T13:50:02.369542Z, 6952
2022-09-17T13:50:02.394542Z, 5353
2022-09-17T13:50:02.419542Z, 5245
2022-09-17T13:50:02.444542Z, 7570
2022-09-17T13:50:02.469542Z, 5054
2022-09-17T13:50:02.494542Z, 6155
2022-09-17T13:50:02.519542Z, 6934
2022-09-17T13:50:02.544542Z, 4647
2022-09-17T13:50:02.569542Z, 6848
2022-09-17T13:50:02.594542Z, 6177
2022-09-17T13:50:02.619542Z, 5219
2022-09-17T13:50:02.644542Z, 6647
2022-09-17T13:50:02.669542Z, 5059
2022-09-17T13:50:02.694542Z, 5729
2022-09-17T13:50:02.719542Z, 6262
2022-09-17T13:50:02.744542Z, 6000
2022-09-17T13:50:02.769542Z, 6885
2022-09-17T13:50:02.794542Z, 6071
2022-09-17T13:50:02.819542Z, 6495
2022-09-17T13:50:02.844542Z, 6032
2022-09-17T13:50:02.869542Z, 6370
2022-09-17T13:50:02.894542Z, 7459
2022-09-17T13:50:02.919542Z, 5496
2022-09-17T13:50:02.944542Z, 6956
2022-09-17T13:50:02.969542Z, 7440
2022-09-17T13:50:02.994542Z, 5221
2022-09-17T13:50:03.019542Z, 7203
2022-09-17T13:50:03.044542Z, 7108
2022-09-17T13:50:03.069542Z, 6258
2022-09-17T13:50:03.094542Z, 7208
2022-09-17T13:50:03.119542Z, 6018
2022-09-17T13:50:03.144542Z, 6810
2022-09-17T13:50:03.169542Z, 6710
2022-09-17T13:50:03.194542Z, 5987
2022-09-17T13:50:03.219542Z, 7404
2022-09-17T13:50:03.244542Z, 5500
2022-09-17T13:50:03.269542Z, 5272
2022-09-17T13:50:03.294542Z, 5727
2022-09-17T13:50:03.319542Z, 4386
2022-09-17T13:50:03.344542Z, 6391
2022-09-17T13:50:03.369542Z, 6193
2022-09-17T13:50:03.394542Z, 5090
2022-09-17T13:50:03.419542Z, 5272
2022-09-17T13:50:03.444542Z, 4173
2022-09-17T13:50:03.469542Z, 5746
2022-09-17T13:50:03.494542Z, 5840
2022-09-17T13:50:03.519542Z, 4397
2022-09-17T13:50:03.544542Z, 6006
2022-09-17T13:50:03.569542Z, 5655
2022-09-17T13:50:03.594542Z, 4710
2022-09-17T13:50:03.619542Z, 4008
2022-09-17T13:50:03.644542Z, 4009
2022-09-17T13:50:03.669542Z, 5829
2022-09-17T13:50:03.694542Z, 4092
2022-09-17T13:50:03.719542Z, 4640
2022-09-17T13:50:03.744542Z, 5313
2022-09-17T13:50:03.769542Z, 3306
2022-09-17T13:50:03.794542Z, 6265
2022-09-17T13:50:03.819542Z, 5713
2022-09-17T13:50:03.844542Z, 4255
